"生产资产ID","资产类型","资产名称","资产级别","剧本出处","关联场次或段落","基础描述","补全设计信息","状态变体","材质结构或声音特点","光影或环境要求","使用或生成需求","可复用范围","信息来源","确认状态","阶段2处理建议"
"BY-SCN-P0-003-揽月登月舱舱内","SCN","揽月登月舱舱内","P0","02-12场","02-12","两座位、操作区、舱门、载荷与登月服固定区","空间需支持下降、EVA准备、起飞和对接","下降;着陆后;EVA;起飞;交会","舱内结构、低反光设备、功能织物","揽月下降任务光与开舱门月面反射","母图与SV2标准五视图","02-12","剧本明确;公开资料;创作者建议","已确认","阶段2主场景"
"BY-SCN-P1-004-北京飞控中心大厅","SCN","北京飞控中心大厅","P1","03-05;07;11;13场","03-05;07;11;13","核心飞控席、群像和屏幕墙","屏幕参数后期添加，岗位层级清楚","任务常态;触月确认;第一步;返程","办公内装、控制台、屏幕","冷色办公光与屏幕反射","母图与SV1指定视图","多场","剧本明确;创作者建议","已确认","新闻飞控支持包"
"BY-SCN-P0-004-月面着陆与作业区","SCN","月面着陆与作业区","P0","04-10场","04-10","登月舱落点、舷梯、摄像机、国旗、采样、设备和羽流安全区","锁定空间总图、太阳方向和全部固定物位置","下降;着陆;第一步;国旗;科学;起飞","灰色月壤、岩石、无大气黑天空","单一硬太阳光与有限月面反射","母图与SV2标准五视图","04-10","剧本明确;科学约束;创作者建议","已确认","阶段2A测试场景"
"BY-SCN-P1-005-月面后段科考区","SCN","月面后段科考区","P1","09场月球车","09","低起伏地形、行驶路线与车辙","与主作业区形成地貌差异但继承太阳方向","月面活动后段","灰色月壤、车辙、远近地形","继承月面固定太阳光","母图与SV1路径视图","09","剧本明确;创作者建议","已确认","月面设备包"
"BY-SCN-P1-006-环月轨道外部环境","SCN","环月轨道外部环境","P1","01;03;11;13场","01;03;11;13","月球弧面、黑色太空和两器相对空间","统一太阳方向、月球尺度和对接轴","交会;分离;月地转移","无空气环境、月球表面反照","硬太阳光与月球反射","环境母图与SV1基准视图","轨道外景","剧本明确;科学约束","已确认","轨道视觉重建包"
"BY-LGT-P1-001-演播室中性直播光","LGT","演播室中性直播光","P1","01-02场","01-02","克制直播光，人物清楚不过度美容","大屏只提供有限反射","主播;专家","中性偏冷、低反差","演播室实用光","场景光影变体","01-02","创作者建议","已确认","阶段2A影调表"
"BY-LGT-P1-002-文昌夜间发射光","LGT","文昌夜间发射光","P1","01场","01","发射场实用光叠加发动机火焰","地面烟气和塔架受光真实","点火前;点火后","高亮火焰、夜间工业照明","地球大气夜景","场景光影状态","01","剧本明确;科学约束","已确认采用","发射资产包"
"BY-LGT-P0-001-梦舟舱内任务光","LGT","梦舟舱内任务光","P0","01;03-05;09-13场","多场","稳定舱内实用光和屏幕反射","三座椅、通道和脸部可读","发射;巡航;对接","中性偏冷、低反光","舱内封闭环境","做进场景母图","梦舟舱内","剧本明确;创作者建议","已确认","梦舟场景母图先锁定"
"BY-LGT-P0-002-揽月下降任务光","LGT","揽月下降任务光","P0","02-05场","02-05","下降阶段稳定任务光","不使用危机红灯和无理由闪烁","下降;触月后","中性任务光、屏幕反射","揽月舱内","做进场景母图","揽月舱内","剧本明确;创作者建议","已确认","揽月场景母图先锁定"
"BY-LGT-P1-003-飞控大厅任务光","LGT","飞控大厅任务光","P1","多场飞控","03-05;07;11;13","冷色办公实用光和屏幕反射","群像层级清楚，不做舞台光","常态;着陆确认","冷色办公光","飞控大厅","做进场景母图","飞控场景","剧本明确;创作者建议","已确认采用","新闻飞控支持包"
"BY-LGT-P0-003-月面固定太阳光","LGT","月面固定太阳光","P0","04-10场","04-10","单一硬太阳光、黑天空、深阴影和有限地表反射","阶段2锁定太阳方位和高度，全段不得翻转","下降;着陆;EVA;起飞","灰色月壤、硬阴影","高真空月面","做进月面场景母图","全部月面镜头","项目锁定;科学约束","已确认","阶段2A核心光影测试"
"BY-LGT-P1-004-环月轨道太阳光","LGT","环月轨道太阳光","P1","轨道外景","01;03;11;13","硬太阳光与月球反射","对接轴和两器形体清楚","交会;分离;转移","无空气硬光","环月轨道","做进轨道环境母图","轨道外景","科学约束","已确认采用","轨道视觉重建包"
"BY-LGT-P1-005-揽月开舱门月面反射","LGT","揽月开舱门月面反射","P1","06场","06","舱内暗部与舱外硬光反差","门缝扩大但不HDR提亮所有暗部","舱门开启","硬光、低反射灰月面","揽月舱门与月面","独立光影状态测试","06","剧本明确;科学约束","已确认采用","揽月舱内光影变体"
"BY-VEH-P1-001-长征十号揽月发射构型","VEH","长征十号揽月发射构型","P1","01-02镜头","01","首枚长征十号搭载揽月","公开结构范围内补全","发射前;点火;离架","箭体、整流罩、发动机","文昌夜间发射光","外部多角度与发射参考","01","剧本明确;公开资料","已确认","发射视觉重建包"
"BY-VEH-P1-002-长征十号梦舟发射构型","VEH","长征十号梦舟发射构型","P1","01-03镜头","01","第二枚长征十号搭载梦舟与三人","与首发共用火箭体系，锁定载荷构型差异","发射前;点火;离架","箭体、整流罩、发动机","文昌夜间发射光","外部多角度与发射参考","01","剧本明确;公开资料","已确认","发射视觉重建包"
"BY-VEH-P0-001-梦舟载人飞船","VEH","梦舟载人飞船","P0","01;03;11;13场","01;03;11;13","三人环月飞船，含返回舱、服务舱和对接口","以公开资料为上限，不宣称官方复原","交会;分离;月地转移","金属、隔热材料、低反光表面","环月轨道太阳光","外部多视图、对接轴视图","轨道场次","剧本明确;公开资料;创作者建议","已确认","P0航天器首批"
"BY-VEH-P0-002-揽月完整构型","VEH","揽月完整构型","P0","01;03-04场","01;03-04","登月舱与推进舱组成的下降前构型","锁定两舱尺度和与梦舟对接关系","对接;分离;下降","金属、隔热与推进结构","环月轨道太阳光","外部多视图与尺度图","下降前","剧本明确;公开资料","已确认","P0航天器首批"
"BY-VEH-P0-003-揽月登月舱","VEH","揽月登月舱","P0","04-12场","04-12","推进舱分离后完成着陆、月面驻留、起飞与对接","统一舷梯、支架、舱门和对接口","下降;着陆;起飞;对接","金属、隔热、支架与舷梯结构","轨道光与月面太阳光","外部多视图、着陆与起飞状态","04-12","剧本明确;公开资料;创作者建议","已确认","P0航天器首批"
"BY-VEH-P1-003-揽月推进舱分离状态","VEH","揽月推进舱分离状态","P1","04-07镜头","04","公开流程的推进舱分离结果","不虚构高度、速度、机构和精确时序","分离前;分离后","推进结构","环月至下降环境","状态对照资产","04","剧本明确;公开资料","已确认采用","随完整构型制作"
"BY-VEH-P0-004-探索载人月球车","VEH","探索载人月球车","P0","09-04镜头","09","双人驾乘月面移动与探测辅助载具","公开方向上补全驾驶位、车轮和载荷接口","折叠或驻车;双人行驶","金属、复合材料、月尘附着","月面固定太阳光","多视图、双人尺度、行驶状态","09","剧本明确;公开资料;创作者建议","已确认","月面设备包"
"BY-PRP-P0-001-梦舟三座椅与束缚系统","PRP","梦舟三座椅与束缚系统","P0","01;03-05;09-13场","多场","两张空座椅视觉母题和三人座位","座位归属、束缚带和相对位置固定","三人就座;两张空座椅;重新坐满","金属框架、功能织物、软约束","梦舟舱内任务光","结构多视图与人物尺度图","梦舟舱内","剧本明确","功能与补全口径已确认;形制由阶段2设计","梦舟舱内包核心"
"BY-PRP-P0-002-揽月舷梯与扶手系统","PRP","揽月舷梯与扶手系统","P0","07场","06-07","出舱、下降与第一步动作路径","具体级数后置，锁定舱门、扶手和落脚逻辑","收纳;展开;使用","金属、低反光、防滑结构","月面固定太阳光","结构多视图、人物动作尺度","06-07","剧本明确;公开资料;创作者建议","已确认","随揽月登月舱设计"
"BY-PRP-P0-003-便携式月面摄像机","PRP","便携式月面摄像机","P0","08;10场","08;10","建立国旗与月面起飞固定摄影来源","折叠、搬运、短支架、朝向和安全区连续","折叠;部署;固定拍摄","金属、复合材料、镜头与短支架","月面固定太阳光","多视图、部署动作、固定机位图","08-10","剧本明确;创作者建议","已确认","月面设备包"
"BY-PRP-P0-004-工程化国旗展示装置","PRP","工程化国旗展示装置","P0","08场","08","底座、立杆、横向支撑和锁止结构","不采用普通旗杆插地动作，旗面无风摆动","折叠;搬运;展开;静止","金属支撑、织物旗面","月面固定太阳光","结构多视图、双人部署尺度","08","剧本明确;创作者建议","已确认","阶段2关键道具测试"
"BY-PRP-P0-005-密封样品转移容器","PRP","密封样品转移容器","P0","09-12场","09-12","样品从月面到梦舟的稳定容器","可固定、可通过对接通道、外部状态可检查","空;装样;揽月固定;梦舟固定","金属与密封结构、低反光","月面与舱内实际光源","多视图、手套与双手交接尺度","09-12","剧本明确;创作者建议","已确认","样品链核心资产"
"BY-PRP-P1-001-月面采样工具","PRP","月面采样工具","P1","09-01镜头","09","手套可操作的月壤采样工具","与样品容器和人体尺度匹配","收纳;使用","金属、复合材料、低反光","月面固定太阳光","多视图与使用动作参考","09","剧本明确;创作者建议","已确认采用","月面设备包"
"BY-PRP-P1-002-月壤样品容器","PRP","月壤样品容器","P1","09-02镜头","09","接收月壤并封闭的内层容器","可装入密封转移容器","开启;装样;关闭","密封结构、低反光","月面固定太阳光","多视图与手套操作参考","09","剧本明确;创作者建议","已确认采用","样品链资产"
"BY-PRP-P1-003-月面科学观测设备","PRP","月面科学观测设备","P1","09-03镜头","09","折叠部署的泛化科学设备","不锁定未公开型号，动作逻辑可执行","折叠;展开;固定","金属、复合材料、支撑结构","月面固定太阳光","多视图与双人部署参考","09","剧本明确;创作者建议","已确认","月面设备包"
"BY-PRP-P1-004-月面工具包与载荷固定系统","PRP","月面工具包与载荷固定系统","P1","03;06;09-10场","03;06;09-10","工具、国旗、摄像机和采样载荷的收纳与固定","与揽月设备舱和登月服动作匹配","固定;取出;回收","功能织物、绑带、金属锁止","舱内与月面实际光源","结构图与关系参考","月面任务","剧本明确;创作者建议","已确认","揽月设备关系切片"
"BY-PRP-P1-005-两器舱门与对接锁止结果件","PRP","两器舱门与对接锁止结果件","P1","03;11-13场","03;11-13","梦舟侧与揽月侧舱门、对接锁和密封结果","明确关闭顺序和两侧差异","开启;关闭;锁闭;密封;解除","金属、密封圈、锁止机构","舱内与轨道实际光源","结构局部与状态对照","对接场次","剧本明确;创作者建议","已确认","与两个舱内场景同步设计"
"BY-PRP-P1-006-舱内操作界面与任务屏","PRP","舱内操作界面与任务屏","P1","全片舱内与飞控","多场","无可读参数的结构与光影底图","所有文字、数据和标牌后期添加","常态;状态变化","低反光屏幕、实体操作区","各场实际光源","界面底图与后期安全区","多场","项目锁定;创作者建议","已确认锁定原则","阶段2只做无文字资产"
"BY-VFX-P1-001-地球发射火焰与烟羽","VFX","地球发射火焰与烟羽","P1","01场","01","地球大气中的点火、烟羽和塔架受光","两次发射可复用，匹配不同构型","点火;离架","高温火焰、烟气、结构震动","文昌夜间大气","VFX模板与场景测试","01","剧本明确;科学约束","已确认采用","发射视觉重建包"
"BY-VFX-P1-002-环月轨道交会与对接","VFX","环月轨道交会与对接","P1","01;11场","01;11","目标缓慢扩大、轴线收敛、接触捕获锁紧","两次对接复用同一物理逻辑","远距;接近;接触;锁紧","无空气轨道运动","环月轨道太阳光","轨道动作模板","01;11","剧本明确;科学约束","已确认采用","载具确认后制作"
"BY-VFX-P0-001-月面下降羽流与贴地月尘","VFX","月面下降羽流与贴地月尘","P0","04场","04","低矮放射状高速散开的月尘","按弹道回落，不形成翻滚尘云","远距下降;近地下降","干燥月尘、真空羽流","月面固定太阳光","核心物理测试模板","04","剧本明确;科学约束","已确认锁定物理方向","阶段2技术测试"
"BY-VFX-P0-002-触月关机与月尘回落","VFX","触月关机与月尘回落","P0","05场","05","支脚接触、羽流衰减和月尘回落属于同一事件","不表现延迟手动关机","接触;关机;静止","颗粒弹道、支脚压实","月面固定太阳光","触月技术测试","05","剧本明确;科学约束","已确认锁定物理方向","阶段2技术测试"
"BY-VFX-P0-003-第一足印月壤形变","VFX","第一足印月壤形变","P0","07场","07","靴底压实月壤，细颗粒向两侧位移","正常速度、无扬尘烟雾","接触;承重;足印稳定","细颗粒月壤","月面固定太阳光","极近景物理测试","07","剧本明确;科学约束","已确认锁定物理方向","阶段2技术测试"
"BY-VFX-P0-004-月面起飞羽流与留场余景","VFX","月面起飞羽流与留场余景","P0","10场","10","登月舱起飞，月尘贴地散开，固定摄像机停留","不出现外部轰鸣或阿波罗式留月下降级","点火;上升;余景","真空羽流、月尘","月面固定太阳光","起飞技术测试模板","10","剧本明确;科学约束","已确认锁定物理方向","阶段2技术测试"
"BY-VFX-P1-003-月地转移点火与月球远离","VFX","月地转移点火与月球远离","P1","13场","13","梦舟服务舱点火、姿态调整、月球弧面远离","运动速度克制，不做光速离月","点火;转移","无空气轨道运动","环月轨道太阳光","结尾视觉重建模板","13","剧本明确;科学约束","已确认采用","轨道视觉重建包"
"BY-SYM-P0-001-中华人民共和国国旗图形","SYM","中华人民共和国国旗图形","P0","08场","08","工程化国旗装置上的准确国旗图形","禁止模型自由生成星位，使用准确贴图或后期合成","折叠;展开;静止","织物与准确图形","月面固定太阳光","准确图形资产与贴合测试","08","项目锁定;创作者建议","已确认","国旗装置确认后贴合"
"BY-SYM-P1-001-未来纪实推演标识","SYM","未来纪实推演标识","P1","片头片尾","01;13","明确艺术化推演属性的标识","后期添加，不进入AI原始画面","片头;片尾","后期图形","后期合成","统一包装资产","全片","项目锁定","已确认锁定","阶段2A建立包装规则"
"BY-SYM-P1-002-新闻条与日期标牌系统","SYM","新闻条与日期标牌系统","P1","01-02场","01-02","新闻人物条、日期和任务标牌","后期添加，保证播出安全区和字体统一","多种新闻条","后期图形","后期合成","统一包装资产","01-02","剧本明确;项目锁定","已确认锁定原则","阶段2A建立包装规则"
"BY-SYM-P1-003-任务阶段与时间跳跃标牌","SYM","任务阶段与时间跳跃标牌","P1","04;06;09-11场","多场","制动下降、接近月面、月面后段、数小时后等标牌","只用确认的公众解说词，不冒充官方程序名称","多阶段","后期图形","后期合成","统一包装资产","多场","剧本明确;项目锁定","已确认锁定原则","阶段2A建立包装规则"
"BY-CRO-P1-001-北京飞控任务团队","CRO","北京飞控任务团队","P1","03-05;07;11;13场","多场","不少于12名可辨岗位人员的任务群像","年龄、性别、脸、坐姿和岗位有差异，不复制同脸","常态;等待;确认后克制反应","正式工作服、控制台","飞控大厅任务光","群演构成表与群像资产","飞控场次","剧本明确;创作者建议","已确认","新闻飞控支持包"
"BY-SND-P0-001-舱内生命保障与设备底噪","SND","舱内生命保障与设备底噪","P0","梦舟与揽月舱内","多场","稳定连续的舱内声音母题","不独立制作，随视频同步生成，不压对白","梦舟;揽月","风扇、设备、轻微结构声","封闭舱内","正式镜头Prompt声音约束","舱内场次","项目锁定;剧本明确","已确认锁定","不进入独立声音资产映射"
"BY-SND-P0-002-地月无线电通信质感","SND","地月无线电通信质感","P0","地月对白","多场","带宽感、底噪和传播停顿","不独立制作，随视频同步生成，保持可懂度","地面到月球;月球到地面","无线电质感","任务通信链","正式镜头Prompt声音约束","通信场次","项目锁定;科学约束","已确认锁定","不进入独立声音资产映射"
"BY-SND-P1-001-舱门对接机构结构传导","SND","舱门对接机构结构传导","P1","03;11-13场","03;11-13","舱门、分离、接触、锁紧的结构传导声","只在舱内或结构路径可听，外部真空无巨大撞击","关闭;分离;接触;锁紧","机械与结构传导","舱内或结构路径","正式镜头Prompt声音约束","对接场次","剧本明确;科学约束","已确认锁定","随视频同步生成"
"BY-SND-P1-002-登月服内部呼吸与结构声","SND","登月服内部呼吸与结构声","P1","06-10场","06-10","头盔内呼吸、关节和扶手接触传导","来自航天服内部与任务通信音轨，不是月面外部环境声","静息;活动;略重呼吸","呼吸、织物、关节结构声","登月服内部","正式镜头Prompt声音约束","月面场次","项目锁定;科学约束","已确认锁定","随视频同步生成"
"BY-SND-P1-003-发动机舱内结构振动","SND","发动机舱内结构振动","P1","04;10场","04;10","下降和起飞时舱内可感知的结构振动","外部画面无空气轰鸣","点火;稳定工作;关机","低频结构振动","揽月舱内","正式镜头Prompt声音约束","下降与起飞","剧本明确;科学约束","已确认锁定","随视频同步生成"
"BY-SND-P2-001-新闻提示音","SND","新闻提示音","P2","01-01镜头","01","片头单一克制提示音","不形成配乐，不反复使用","单次","短促提示音","新闻演播室","随片头视频生成或后期单点制作","01","剧本明确;项目锁定","已确认采用","不建立音乐资产"
"BY-REL-P0-001-三名航天员与岗位","REL","三名航天员与岗位关系","P0","全片","全片","三人外观、服装、声音、座位和岗位一一对应","关系切片供人物、场景和声音组共同继承","全过程","人物与岗位连续性","全片实际光源","跨资产关系记录","全片","剧本明确","已确认锁定","阶段2B分工包必带"
"BY-REL-P0-002-杨凛服装状态链","REL","杨凛服装状态链","P0","03-10场","03-10","舱内飞行服到登月服再回舱内状态","顺序固定，不跨镜混用互斥状态","舱内;登月服;月尘;脱服后","服装连续性","舱内与月面","跨资产关系记录","03-10","剧本明确","已确认锁定","人物组关系切片"
"BY-REL-P0-003-陈砚服装状态链","REL","陈砚服装状态链","P0","03-10场","03-10","与杨凛同阶段但工具痕迹不同","顺序固定，不跨镜混用互斥状态","舱内;登月服;月尘;脱服后","服装连续性","舱内与月面","跨资产关系记录","03-10","剧本明确","已确认锁定","人物组关系切片"
"BY-REL-P0-004-刘定槎与两张空座椅","REL","刘定槎与两张空座椅","P0","03-13场","03-13","分离后空出、等待时存在、重聚后坐满","座位位置、束缚带和人物归属固定","三人;两空座;重新坐满","空间母题连续性","梦舟舱内任务光","跨资产关系记录","03-13","剧本明确","已确认锁定","梦舟场景包核心"
"BY-REL-P0-005-揽月构型状态链","REL","揽月构型状态链","P0","01-12场","01;03-12","完整构型到推进舱分离再到登月舱着陆起飞对接","禁止出现阿波罗式上升级下降级","完整;分离;着陆;起飞;对接","航天器构型连续性","轨道与月面光","跨资产关系记录","多场","剧本明确;公开资料","已确认锁定","航天器组关系切片"
"BY-REL-P0-006-月面摄像机摄影来源","REL","月面摄像机摄影来源","P0","08-10场","08-10","先部署摄像机后才能调用国旗和起飞固定全景","位置、朝向和安全区不得漂移","折叠;部署;固定拍摄","空间与摄影来源连续性","月面固定太阳光","跨资产关系记录","08-10","剧本明确","已确认锁定","月面场景组关系切片"
"BY-REL-P0-007-国旗装置部署链","REL","国旗装置部署链","P0","08场","08","折叠、搬运、底座稳定、支撑锁定、展开、静止","旗面无风，只允许部署余振","多状态","道具状态连续性","月面固定太阳光","跨资产关系记录","08","剧本明确;科学约束","已确认锁定","道具组关系切片"
"BY-REL-P0-008-样品转移链","REL","样品转移链","P0","09-12场","09-12","采集、封闭、密封、揽月固定、先于人员转移、梦舟固定","容器外观、持有人和位置连续","空;装样;转移;固定","道具与人物接触连续性","月面与舱内","跨资产关系记录","09-12","剧本明确","已确认锁定","道具组关系切片"
