生产资产ID,资产类型,资产名称,资产级别,剧本出处,关联场次或段落,基础描述,补全设计信息,状态变体,材质结构或声音特点,光影或环境要求,使用或生成需求,可复用范围,信息来源,确认状态,阶段2处理建议
BY-VEH-P0-003-揽月登月舱,VEH,揽月登月舱,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场4,5,6,7,8,9,10,11；镜025,027,033,037,038,039,042,047,051,054,055,057,058,067,068,074,075",推进舱分离后完成着陆、月面驻留、起飞与对接,统一舷梯、支架、舱门和对接口,下降姿态；触月承载；月面驻留；整器起飞；环月交会,金属、隔热、支架与舷梯结构,轨道光与月面太阳光,外部多视图、着陆与起飞状态,04-12,剧本明确;公开资料;创作者建议,已确认,P0航天器首批
BY-VEH-P1-003-揽月推进舱分离状态,VEH,揽月推进舱分离状态,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,场4；镜025,公开流程的推进舱分离结果,不虚构高度、速度、机构和精确时序,分离前;分离后,推进结构,环月至下降环境,状态对照资产,04,剧本明确;公开资料,已确认采用,随完整构型制作
BY-VEH-P0-004-探索载人月球车,VEH,探索载人月球车,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场9；镜058,059,066,067",双人驾乘月面移动与探测辅助载具,公开方向上补全驾驶位、车轮和载荷接口,折叠或驻车;双人行驶,金属、复合材料、月尘附着,月面固定太阳光,多视图、双人尺度、行驶状态,09,剧本明确;公开资料;创作者建议,已确认,月面设备包
BY-PRP-P0-001-梦舟三座椅与束缚系统,PRP,梦舟三座椅与束缚系统,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,3,13,14,15；镜004,015,090,094,101,103",两张空座椅视觉母题和三人座位,座位归属、束缚带和相对位置固定,三人就座;两张空座椅;重新坐满,金属框架、功能织物、软约束,梦舟舱内任务光,结构多视图与人物尺度图,梦舟舱内,剧本明确,功能与补全口径已确认;形制由阶段2设计,梦舟舱内包核心
BY-PRP-P0-002-揽月舷梯与扶手系统,PRP,揽月舷梯与扶手系统,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场7,8,10；镜047,048,049,052,069",出舱、下降与第一步动作路径,具体级数后置，锁定舱门、扶手和落脚逻辑,收纳;展开;使用,金属、低反光、防滑结构,月面固定太阳光,结构多视图、人物动作尺度,06-07,剧本明确;公开资料;创作者建议,已确认,随揽月登月舱设计
BY-PRP-P0-003-便携式月面摄像机,PRP,便携式月面摄像机,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场7,8,9,11；镜045,047,053,060,061,074",建立国旗与月面起飞固定摄影来源,折叠、搬运、短支架、朝向和安全区连续,折叠;部署;固定拍摄,金属、复合材料、镜头与短支架,月面固定太阳光,多视图、部署动作、固定机位图,08-10,剧本明确;创作者建议,已确认,月面设备包
BY-PRP-P0-004-工程化国旗展示装置,PRP,工程化国旗展示装置,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场7,8,9,11；镜045,054,055,056,057,067,074",底座、立杆、横向支撑和锁止结构,不采用普通旗杆插地动作，旗面无风摆动,折叠;搬运;展开;静止,金属支撑、织物旗面,月面固定太阳光,结构多视图、双人部署尺度,08,剧本明确;创作者建议,已确认,阶段2关键道具测试
BY-PRP-P0-005-密封样品转移容器,PRP,主样品密封转移容器,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场10,11,13,14,16；镜068,071,076,089,101,113",样品从月面到梦舟的稳定容器,可固定、可通过对接通道、外部状态可检查,空载固定；装样封闭；外平台转移；揽月舱内锁止；跨舱转移；梦舟样品柜锁止,金属与密封结构、低反光,月面与舱内实际光源,多视图、手套与双手交接尺度,09-12,剧本明确;创作者建议,已确认,样品链核心资产
BY-PRP-P1-001-月面采样工具,PRP,月面采样工具,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场7,9；镜045,059,062",手套可操作的月壤采样工具,与样品容器和人体尺度匹配,收纳;使用,金属、复合材料、低反光,月面固定太阳光,多视图与使用动作参考,09,剧本明确;创作者建议,已确认采用,月面设备包
BY-PRP-P1-002-月壤样品容器,PRP,月壤样品容器,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场7,9；镜045,059,062",接收月壤并封闭的内层容器,可装入密封转移容器,开启;装样;关闭,密封结构、低反光,月面固定太阳光,多视图与手套操作参考,09,剧本明确;创作者建议,已确认采用,样品链资产
BY-PRP-P1-003-月面科学观测设备,PRP,小型月面科学载荷,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,场9；镜064,折叠部署的泛化科学设备,不锁定未公开型号，动作逻辑可执行,收纳；搬运；布放；安装后；遥测上线,金属、复合材料、支撑结构,月面固定太阳光,多视图与双人部署参考,09,剧本明确;创作者建议,已确认,月面设备包
BY-PRP-P1-004-月面工具包与载荷固定系统,PRP,月面工具包与载荷固定系统,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,场7；镜045,工具、国旗、摄像机和采样载荷的收纳与固定,与揽月设备舱和登月服动作匹配,固定;取出;回收,功能织物、绑带、金属锁止,舱内与月面实际光源,结构图与关系参考,月面任务,剧本明确;创作者建议,已确认,揽月设备关系切片
BY-PRP-P1-005-两器舱门与对接锁止结果件,PRP,两器舱门与对接锁止结果件,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场3,13；镜013,014,016,018,019,089,092",梦舟侧与揽月侧舱门、对接锁和密封结果,明确关闭顺序和两侧差异,开启;关闭;锁闭;密封;解除,金属、密封圈、锁止机构,舱内与轨道实际光源,结构局部与状态对照,对接场次,剧本明确;创作者建议,已确认,与两个舱内场景同步设计
BY-PRP-P1-006-舱内操作界面与任务屏,PRP,舱内操作界面与任务屏,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,2,3,4,5,7,9,10,11,12；镜004,007,009,017,018,023,029,044,046,063,071,073,079,081,082",无可读参数的结构与光影底图,所有文字、数据和标牌后期添加,常态;状态变化,低反光屏幕、实体操作区,各场实际光源,界面底图与后期安全区,多场,项目锁定;创作者建议,已确认锁定原则,阶段2只做无文字资产
BY-VFX-P1-001-地球发射火焰与烟羽,VFX,地球发射火焰与烟羽,P1,01场,历史V1.1,地球大气中的点火、烟羽和塔架受光,两次发射可复用，匹配不同构型,点火;离架,高温火焰、烟气、结构震动,文昌夜间大气,VFX模板与场景测试,01,剧本明确;科学约束,历史停用（V1.2不调用）,V1.2不含发射
BY-VFX-P1-002-环月轨道交会与对接,VFX,环月轨道交会与对接,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,2,12；镜005,008,010,011,084,085,087",目标缓慢扩大、轴线收敛、接触捕获锁紧,两次对接复用同一物理逻辑,远距;接近;接触;锁紧,无空气轨道运动,环月轨道太阳光,轨道动作模板,01;11,剧本明确;科学约束,已确认采用,载具确认后制作
BY-VFX-P0-001-月面下降羽流与贴地月尘,VFX,月面下降羽流与贴地月尘,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场5；镜027,037",低矮放射状高速散开的月尘,按弹道回落，不形成翻滚尘云,远距下降;近地下降,干燥月尘、真空羽流,月面固定太阳光,核心物理测试模板,04,剧本明确;科学约束,已确认锁定物理方向,阶段2技术测试
BY-VFX-P0-002-触月关机与月尘回落,VFX,触月关机与月尘回落,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场5,6；镜038,039",支脚接触、羽流衰减和月尘回落属于同一事件,不表现延迟手动关机,接触;关机;静止,颗粒弹道、支脚压实,月面固定太阳光,触月技术测试,05,剧本明确;科学约束,已确认锁定物理方向,阶段2技术测试
