原生产资产ID,V1.3.1处置,现生产资产ID,原因,影响镜号
BY-REL-P0-009-梦舟三座返航承载与环月工作位,语义扩展,BY-REL-P0-009-梦舟三座返航承载与环月工作位,建立三座满员—两座空置—三座重聚—返航承载链,005—019;025;082;086;097—109
,新增,BY-CHR-P1-004-何文澜,载人航天与航天医学方向专家。,镜20、48—50、79、113
,新增,BY-CHR-P1-005-孙亦川,轨道动力学与返回再入方向专家。,镜35、88、93、100
,新增,BY-CHR-P1-006-顾青岚,月球地质与月面科学方向专家。,镜66—67、72
,新增,BY-CST-P1-006-何文澜专家服装,深色或中性低饱和职业正装。,镜20、48、113
,新增,BY-CST-P1-007-孙亦川专家服装,低饱和职业正装。,镜35、88、93
,新增,BY-CST-P1-008-顾青岚专家服装,专业、简洁的地质专家采访服装。,镜66
,新增,BY-VOI-P1-012-何文澜声音,冷静、温和、医学解释清楚的中年专家音色。,镜20、48—50、79、113
,新增,BY-VOI-P1-013-孙亦川声音,逻辑清晰、节奏克制的轨道动力学专家音色。,镜35、88、93、100
,新增,BY-VOI-P1-014-顾青岚声音,清晰、沉稳的月球地质专家音色。,镜66—67、72
,新增,BY-VOI-P1-015-医监人员声音,现场医监人员的短句程序口令。,镜114
,新增,BY-SCN-P1-012-东风医监开舱作业区,返回舱外警戒、开舱、人员评估、支撑转移与样品交接的连续工作区。,镜112—117
,新增,BY-LGT-P1-008-飞控媒体区直播光,中性、可信的新闻现场光，兼顾记者肤色、专家和任务大屏。,记者与专家直播镜头
,新增,BY-PRP-P0-006-东风医监转移设备,航天员出舱后的循环、平衡和运动状态评估及转移设备。,镜113—116
,新增,BY-PRP-P1-012-月球车任务相机组,探索载人月球车的前向导航相机与侧后任务记录相机。,镜68、70、72、74—75
,新增,BY-PRP-P1-013-东风样品接收设备,月球样品密封转运的现场接收箱、编号、封签和交接记录件。,镜94、117
,新增,BY-PRP-P1-014-宇航服任务相机,固定于登月服的第一视角任务记录相机。,镜55、57、60、62、71、73—74
,新增,BY-PRP-P1-015-航天器任务相机组,对接口监视、揽月下视与着陆腿、舱外固定、梦舟外部返回任务相机。,对接口、下视、着陆腿、外部固定及返回外部任务镜头
,新增,BY-VFX-P1-008-遥测视觉重建合成,以轨道、姿态、距离和时间数据重建无法由实体任务相机直接拍到的外部全景。,所有标注“视觉重建”的镜头
,新增,BY-SYM-P1-006-视觉重建来源标识,明确区分艺术重建与任务相机实拍逻辑的角标。,所有视觉重建镜头
,新增,BY-SYM-P1-007-直播进口出口与倒计时,记者开场、阶段提示、五分钟倒计时和直播收束的统一图形系统。,镜3、22、27、47、51、87、92、118
,新增,BY-SYM-P1-008-东风搜救时间压缩,明确提示搜救分队抵达和安全处置为时间压缩。,镜110
,新增,BY-SND-P1-009-媒体区直播现场声,低声工作环境、轻空调底噪、现场掌声与人物近讲。,记者与专家镜头
,新增,BY-REL-P1-007-摄影来源证据层级,A任务证据机位、B地面直播机位、C显式遥测视觉重建、D后期图卡四层来源。,119镜全片
,新增,BY-REL-P1-008-三段直播结构链,记者事件前解释、任务关键动作、事件后采访、字幕跳时四种结构单元。,第1—15场
,新增,BY-REL-P1-009-东风医监与样品双线,人员安全处置、逐人评估、座椅／担架转移与样品编号交接并行闭合。,镜110—118
,新增,BY-REL-P1-010-地月视觉尺度连续性,环月轨道中的地球表现为有清晰直径的蓝白圆盘，接近地球时逐步扩大。,镜2、4、23、31、33、46、83、89—90、96—101
,新增,BY-ANM-P0-001-梦舟四种乘员状态,三座满员、两座空置、一人环月值守、三人重聚与返航承载的动作连续。,镜5、8、12、17、19、25、82、86、97—109
,新增,BY-ANM-P0-002-揽月下降出舱起飞链,下降约束、着陆检查、单人通行出舱、回舱增压、起飞与再对接。,镜24、32—60、77—85
,新增,BY-ANM-P1-001-月面科研时间压缩,相机部署后国旗、月球车、采样、钻取、载荷部署和返程。,镜61—76
,新增,BY-ANM-P1-002-东风搜救开舱转移,着陆、时间压缩、搜救抵达、安全检测、开舱评估、座椅／担架转移和样品交接。,镜107—117
