镜号,场次,场名,时间码,时长秒,景别／机位,画面动作摘要,关键状态／变体,摄影来源等级,所需视觉资产ID,所需人物音色ID,同步声音约束ID,后期文字／图形资产ID,资产状态,专业控制
011,02,环月对接,00:01:24–00:01:31,7,飞控屏幕近景,轨道、姿态和链路状态依次转绿；飞行主任手势确认。,常规任务状态,B｜地面直播／测控任务机位,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-006-北京飞控大厅与任务主屏,BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-008-飞控与测控大厅底噪,,阶段1映射完成｜阶段2B按镜头状态调用,保留授权动作和短暂停顿。
012,02,环月对接,00:01:31–00:01:38,7,梦舟舱内交叉近景,杨凛看向中央状态页，刘定槎盯住相对导航，陈砚保持对揽月系统监视。,梦舟A｜三座满员／对接前,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-001-梦舟四种乘员状态;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-009-梦舟三座返航承载与环月工作位;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-005-梦舟环月工作位;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-001-杨凛声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪,,阶段1映射完成｜阶段2B按镜头状态调用,通话保留约1.3秒单程延迟的自然节奏。
013,02,环月对接,00:01:38–00:01:46,8,正轴／视觉重建,对接环在画面中心逐渐重合，双器相对运动接近静止；角落保留视觉重建标识。,遥测视觉重建｜角标常驻,C｜显式遥测视觉重建,BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-REL-P1-007-摄影来源证据层级;BY-VFX-P1-002-环月轨道交会与对接;BY-VFX-P1-008-遥测视觉重建合成,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-001-舱门对接机构结构传导,BY-SYM-P1-006-视觉重建来源标识,阶段1映射完成｜阶段2B按镜头状态调用,第三视角只补充空间尺度。
014,02,环月对接,00:01:46–00:01:54,8,对接机构与舱内交叉,对接环接触、缓冲、拉紧；梦舟舱内出现轻微结构振动。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-REL-P1-007-摄影来源证据层级;BY-VEH-P0-001-梦舟载人飞船;BY-VFX-P1-002-环月轨道交会与对接,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-003-刘定槎声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-001-舱门对接机构结构传导,,阶段1映射完成｜阶段2B按镜头状态调用,结构声只在舱内成立。
015,02,环月对接,00:01:54–00:02:02,8,北京飞控广角,硬连接、姿态、密封和压力检查依次完成，大厅短暂克制鼓掌。,常规任务状态,B｜地面直播／测控任务机位,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-VFX-P1-002-环月轨道交会与对接,BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-008-飞控与测控大厅底噪,,阶段1映射完成｜阶段2B按镜头状态调用,对接成功后仍完成密封检查。
016,03,人员转移与直播一结束,00:02:02–00:02:08,6,对接通道轴向固定,压差归零后两侧舱门依次开启，任务数据盒、救生包和个人转移袋沿固定索先行通过。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-REL-P0-010-梦舟轴向转移顺序;BY-REL-P1-002-两侧舱门顺序;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-002-梦舟对接通道与舱门区;BY-VFX-P1-002-环月轨道交会与对接,BY-VOI-P0-003-刘定槎声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-001-舱门对接机构结构传导,,阶段1映射完成｜阶段2B按镜头状态调用,先物品、后人员。
017,03,人员转移与直播一结束,00:02:08–00:02:14,6,梦舟返回舱三人中景,杨凛、陈砚解除座椅约束，刘定槎仍在工作位；三把座椅关系清楚。,梦舟A｜三座满员／对接前,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-001-梦舟四种乘员状态;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-009-梦舟三座返航承载与环月工作位;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-005-梦舟环月工作位;BY-VEH-P0-001-梦舟载人飞船,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-003-刘定槎声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪,,阶段1映射完成｜阶段2B按镜头状态调用,对话克制，不使用煽情告别。
018,03,人员转移与直播一结束,00:02:14–00:02:21,7,通道固定机位,杨凛、陈砚依次进入揽月，刘定槎执行人数清点并关闭转移清单。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-010-梦舟轴向转移顺序;BY-REL-P1-002-两侧舱门顺序;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-002-梦舟对接通道与舱门区;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-003-刘定槎声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-001-舱门对接机构结构传导,,阶段1映射完成｜阶段2B按镜头状态调用,人员关系正式完成切换。
019,03,人员转移与直播一结束,00:02:21–00:02:27,6,梦舟返回舱后向广角,刘定槎独自坐回工作位，左右两张座椅空置并锁定；他抬眼确认两器组合体状态。,梦舟B｜刘定槎值守／两座空置锁定,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-001-梦舟四种乘员状态;BY-CHR-P0-003-刘定槎;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-009-梦舟三座返航承载与环月工作位;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-005-梦舟环月工作位;BY-VEH-P0-001-梦舟载人飞船,,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪,,阶段1映射完成｜阶段2B按镜头状态调用,第二次建立两张空座的视觉母题。
020,03,人员转移与直播一结束,00:02:27–00:02:45,18,媒体区双人中景,林知夏与何文澜站在任务大屏前，屏上标注：48小时准备期。,常规任务状态,B｜地面直播／测控任务机位,BY-CHR-P1-002-林知夏;BY-CHR-P1-004-何文澜;BY-CST-P1-004-林知夏记者服装;BY-CST-P1-006-何文澜专家服装;BY-LGT-P1-008-飞控媒体区直播光;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P1-003-飞控中心媒体区,BY-VOI-P1-002-林知夏声音;BY-VOI-P1-012-何文澜声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-007-直播进口出口与倒计时,阶段1映射完成｜阶段2B按镜头状态调用,采访允许自然停顿和眼神反应；不覆盖任务关键动作。
021,03,人员转移与直播一结束,00:02:45–00:02:53,8,揽月舱内准备蒙太奇,两人固定物品、检查登月服接口、核对下降清单并轮换休息。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-002-揽月下降出舱起飞链;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱,BY-VOI-P1-012-何文澜声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-003-发动机舱内结构振动,,阶段1映射完成｜阶段2B按镜头状态调用,不虚构未公开舱压和预呼吸参数。
022,03,人员转移与直播一结束,00:02:53–00:03:00,7,媒体区收束,林知夏转向镜头，身后画面停在组合体环月飞行。,常规任务状态,B｜地面直播／测控任务机位,BY-CHR-P1-002-林知夏;BY-CST-P1-004-林知夏记者服装;BY-LGT-P1-004-环月轨道太阳光;BY-LGT-P1-008-飞控媒体区直播光;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-REL-P1-010-地月视觉尺度连续性;BY-SCN-P1-003-飞控中心媒体区;BY-SCN-P1-006-环月轨道外部环境,BY-VOI-P1-002-林知夏声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-007-直播进口出口与倒计时,阶段1映射完成｜阶段2B按镜头状态调用,形成明确直播出口。
023,04,时间跨越,00:03:00–00:03:12,12,月轨组合体远景／后期字幕,梦舟—揽月组合体从月球明暗交界上方掠过。字幕：2029年4月8日；对接后48小时；揽月下降准备完成。,常规任务状态,C｜显式遥测视觉重建,BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-004-环月轨道太阳光;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-010-梦舟轴向转移顺序;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-002-两侧舱门顺序;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-010-地月视觉尺度连续性;BY-SCN-P0-002-梦舟对接通道与舱门区;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱;BY-VFX-P1-002-环月轨道交会与对接;BY-VFX-P1-008-遥测视觉重建合成,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-003-发动机舱内结构振动,BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-006-视觉重建来源标识,阶段1映射完成｜阶段2B按镜头状态调用,明确时间跨越，不标注现场直播；外景属于视觉重建。
024,05,直播二开场：揽月脱离,00:03:12–00:03:20,8,揽月舱内双人中景,杨凛和陈砚穿舱内压力服固定，关闭下降前最后几项清单。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-002-揽月下降出舱起飞链;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-003-发动机舱内结构振动,,阶段1映射完成｜阶段2B按镜头状态调用,舱内不出现宽阔走动空间。
025,05,直播二开场：揽月脱离,00:03:20–00:03:27,7,梦舟工作位,刘定槎独自在中央工作位，左右两张空座椅保持锁定；他交叉核对揽月遥测和梦舟待机轨道。,梦舟B｜刘定槎值守／两座空置锁定,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-001-梦舟四种乘员状态;BY-CHR-P0-003-刘定槎;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-009-梦舟三座返航承载与环月工作位;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-005-梦舟环月工作位;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-003-刘定槎声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪,,阶段1映射完成｜阶段2B按镜头状态调用,延续两张空座母题。
026,05,直播二开场：揽月脱离,00:03:27–00:03:35,8,飞控大厅多席位,飞行主任依次接收轨道、揽月系统、通信、航天员系统和应急返回状态。,常规任务状态,B｜地面直播／测控任务机位,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-REL-P0-005-揽月构型状态链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱,BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-008-飞控与测控大厅底噪,,阶段1映射完成｜阶段2B按镜头状态调用,重复确认压缩为一次关键闭合。
027,05,直播二开场：揽月脱离,00:03:35–00:03:47,12,媒体区直播中景,林知夏面向镜头，身后大屏显示双器组合体与下降轨迹。,常规任务状态,B｜地面直播／测控任务机位,BY-CHR-P1-002-林知夏;BY-CST-P1-004-林知夏记者服装;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-008-飞控媒体区直播光;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-003-飞控中心媒体区,BY-VOI-P1-002-林知夏声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-004-任务轨迹与相位图模板;BY-SYM-P1-007-直播进口出口与倒计时,阶段1映射完成｜阶段2B按镜头状态调用,台词以自然播报速度完成；记者只做事件前解释。
028,05,直播二开场：揽月脱离,00:03:47–00:03:54,7,对接口监视相机,锁紧解除，视场中的对接目标沿安全轴线缓慢退出。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-PRP-P1-015-航天器任务相机组;BY-REL-P1-007-摄影来源证据层级;BY-VFX-P1-002-环月轨道交会与对接,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-003-刘定槎声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-001-舱门对接机构结构传导,,阶段1映射完成｜阶段2B按镜头状态调用,任务证据视角。
029,05,直播二开场：揽月脱离,00:03:54–00:04:04,10,月轨双器全景／视觉重建,揽月与梦舟拉开距离，画面角落标注：基于实时遥测的视觉重建。,遥测视觉重建｜角标常驻,C｜显式遥测视觉重建,BY-LGT-P1-004-环月轨道太阳光;BY-REL-P0-005-揽月构型状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-010-地月视觉尺度连续性;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱;BY-VFX-P1-008-遥测视觉重建合成,,BY-REL-P1-003-声音来源真实性,BY-SYM-P1-006-视觉重建来源标识,阶段1映射完成｜阶段2B按镜头状态调用,本片第一次以第三视角明确展示两器分离的空间尺度。
030,05,直播二开场：揽月脱离,00:04:04–00:04:09,5,梦舟与揽月舱内交叉,刘定槎确认安全距离；杨凛和陈砚确认下降序列已接通。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-002-揽月下降出舱起飞链;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-003-发动机舱内结构振动,,阶段1映射完成｜阶段2B按镜头状态调用,保留双器状态闭合。
