镜号,场次,场名,时间码,景别／机位,画面动作摘要,所需视觉资产ID,所需人物音色ID,同步声音约束ID,后期文字／图形资产ID,资产状态,专业控制
011,2,环月对接,01:15–01:23,机械捕获特写／舱内反应,对接环接触、缓冲、拉紧；两舱内仅有轻微振动。,BY-LGT-P0-002-揽月下降任务光;BY-LGT-P1-004-环月轨道太阳光;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-005-梦舟月轨组合体;BY-VFX-P1-002-环月轨道交会与对接,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-003-刘定槎声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导,,V1.2提取已终审；待阶段2B设计与确认可调用,只在舱内表现结构声，太空外景静音。
012,2,环月对接,01:23–01:30,状态屏与飞控交叉,硬连接指示依次转绿，飞控完成密封与姿态复核。,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-SCN-P0-006-北京飞控大厅与任务主屏,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,对接成功不等于立即开舱，保留工程步骤。
013,3,人员与任务转移,01:30–01:37,对接通道轴向固定,压力平衡读数稳定，刘定槎打开梦舟前向舱门；对面揽月舱门随后开启。,BY-CHR-P0-003-刘定槎;BY-CST-P0-003-刘定槎舱内飞行服;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-SCN-P0-002-梦舟对接通道与舱门区,BY-VOI-P0-003-刘定槎声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导,,V1.2提取已终审；待阶段2B设计与确认可调用,区分侧向地面进出口与前向在轨对接通道。
014,3,人员与任务转移,01:37–01:44,通道中景,陈砚先把任务数据盒与随身救生包送入揽月，所有物品沿固定索传递。,BY-CHR-P0-002-陈砚;BY-CST-P0-002-陈砚舱内飞行服;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-PRP-P1-007-任务数据盒与随身救生包;BY-SCN-P0-002-梦舟对接通道与舱门区,BY-VOI-P0-002-陈砚声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导,,V1.2提取已终审；待阶段2B设计与确认可调用,先物品、后人员，避免随意漂浮。
015,3,人员与任务转移,01:44–01:51,梦舟返回舱广角,三把座椅同框。杨凛与陈砚解开座椅约束，刘定槎仍在工作位核对双器状态。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-SCN-P0-001-梦舟舱内三座布局,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-003-刘定槎声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,空座椅不承载离别情绪，只作为回程硬件。
016,3,人员与任务转移,01:51–01:58,通道跟移,杨凛、陈砚依次穿过轴向通道进入揽月；刘定槎在舱口执行人数清点。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-SCN-P0-002-梦舟对接通道与舱门区,BY-VOI-P0-003-刘定槎声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导,,V1.2提取已终审；待阶段2B设计与确认可调用,用任务清点替代煽情告别。
017,3,人员与任务转移,01:58–02:05,揽月舱内固定广角,两人固定身体、接通通信和生命保障，核对登月服与月面载荷。,BY-LGT-P0-002-揽月下降任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-003-揽月登月舱舱内,BY-VOI-P0-002-陈砚声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,舱内空间紧凑，不设计可放倒座椅或大面积空舱。
018,3,人员与任务转移,02:05–02:13,梦舟工作位近景,刘定槎关闭通道前快速复核揽月遥测页，屏幕显示两人生命体征。,BY-CHR-P0-003-刘定槎;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-002-梦舟对接通道与舱门区;BY-SCN-P0-005-梦舟环月工作位,BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,留守人员从返回舱工作位协助，不进入服务舱。
019,3,人员与任务转移,02:13–02:20,舱门结构交叉特写,两侧舱门依次关闭、锁定，压力曲线稳定。,BY-LGT-P0-002-揽月下降任务光;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-SCN-P0-002-梦舟对接通道与舱门区;BY-SCN-P0-003-揽月登月舱舱内,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-003-刘定槎声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,不展示未经公开的锁闩细节。
020,4,分离与降轨,02:20–02:26,对接口外部监视相机,锁紧状态解除，揽月轻柔退出；梦舟保持轨道姿态。,BY-LGT-P1-004-环月轨道太阳光;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-005-梦舟月轨组合体,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-003-刘定槎声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导,,V1.2提取已终审；待阶段2B设计与确认可调用,太空外部静音；声音仅来自舱内。
021,4,分离与降轨,02:26–02:32,双器远景,揽月沿安全走廊离开，梦舟转入环月待机轨道。,BY-LGT-P1-004-环月轨道太阳光;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-005-梦舟月轨组合体,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,一次画面明确分工。
022,4,分离与降轨,02:32–02:39,喀什站／飞控界面,喀什深空站接力，主屏上揽月轨道近月点下降。,BY-CRO-P1-001-北京飞控任务团队;BY-CRO-P1-002-深空测控值班团队;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-006-深空测控站任务光;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-008-喀什35米深空测控站,BY-VOI-P1-006-叶河深空测控声音;BY-VOI-P1-007-天衡测轨声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,“天衡”为片中VLBI网统一呼号，非官方席位名。
023,4,分离与降轨,02:39–02:46,揽月舱内／推进参数,杨凛确认降轨参数，陈砚闭合下降清单。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-LGT-P0-002-揽月下降任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-003-揽月登月舱舱内,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,地面给方案，乘组执行关键指令。
024,4,分离与降轨,02:46–02:53,月轨外景,揽月推进舱点火，组合体进入下降椭圆轨道。,BY-LGT-P1-004-环月轨道太阳光;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-002-揽月完整构型,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-003-发动机舱内结构振动,,V1.2提取已终审；待阶段2B设计与确认可调用,推进舱承担降轨和主要制动。
025,4,分离与降轨,02:53–03:00,构型分离远中景,制动结束后推进舱与着陆器分离，着陆器调整为下降姿态。,BY-LGT-P1-004-环月轨道太阳光;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱;BY-VEH-P1-003-揽月推进舱分离状态;BY-VFX-P1-004-姿控喷流,BY-VOI-P0-001-杨凛声音,BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,分离时机属合理推演；废弃体去向不作精确公开事实表述。
026,5,动力下降,03:00–03:07,任务字幕／轨道示意,字幕：预选着陆区 11.97°N，3.21°W。轨道图由15公里级下降起点切入实景。,,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感,BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,高度数字为影视化区间表达，不冒充最终任务参数。
027,5,动力下降,03:07–03:15,揽月外景侧后方,主发动机建立推力，地平线快速移动，着陆器开始主减速。,BY-LGT-P0-004-月面艺术化任务日光;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱;BY-VFX-P0-001-月面下降羽流与贴地月尘,BY-VOI-P0-001-杨凛声音,BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,月外景无空气声；推进声只在舱内以结构传导表现。
028,5,动力下降,03:15–03:22,飞控多屏近景,推力、姿态、剩余推进剂曲线同步滚动，席位口令简短。,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-SCN-P0-006-北京飞控大厅与任务主屏,BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-005-林海深空测控声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,让地面系统参与状态闭合。
029,5,动力下降,03:22–03:29,揽月舱内双人中景,两人穿舱内压力服固定在紧凑座椅，杨凛看飞行界面，陈砚监控落区相机与载荷。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-LGT-P0-002-揽月下降任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-003-揽月登月舱舱内,BY-VOI-P0-002-陈砚声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,舱内无大幅走动。
030,5,动力下降,03:29–03:37,着陆器下视相机,视场从斜向地形过渡到近垂直，火山碎屑暗区、月海玄武岩与撞击坑边界掠过。,BY-LGT-P0-004-月面艺术化任务日光;BY-SCN-P0-004-月面着陆与作业区,BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,地质表达基于候选区公开研究，不锁死具体坑名。
031,5,动力下降,03:37–03:44,北京飞控／轨迹投影,系统把大坑、陡坡和巨石区域标红，候选走廊缩小。,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-SCN-P0-006-北京飞控大厅与任务主屏,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-008-飞控与测控大厅底噪,,V1.2提取已终审；待阶段2B设计与确认可调用,低延迟关键避障由器上完成，地面提前授权并监视。
032,5,动力下降,03:44–03:51,下视图与舱内交叉,候选区A被坡度风险剔除，B区进入优选；杨凛手指停在确认区。,BY-CHR-P0-001-杨凛;BY-CST-P0-001-杨凛舱内飞行服;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-004-月面着陆与作业区,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,AI提出建议，指令长作最终选择。
033,5,动力下降,03:51–03:58,外景近垂直俯视,着陆器小幅横移，下降速度持续收敛。,BY-LGT-P0-004-月面艺术化任务日光;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-002-陈砚声音,BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,不夸张横向机动。
034,5,动力下降,03:58–04:06,100米级悬停主观,地表纹理几乎静止，激光三维点云覆盖落点，细小岩块被再次标注。,BY-LGT-P0-004-月面艺术化任务日光;BY-SCN-P0-004-月面着陆与作业区,BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-002-地月无线电通信质感,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,参考无人探测器悬停精避障范式，非照搬嫦娥六号参数。
035,5,动力下降,04:06–04:13,佳木斯／喀什／飞控三切,林海、叶河数据连续，天衡轨道解算与器上导航差值收敛。,BY-CRO-P1-001-北京飞控任务团队;BY-CRO-P1-002-深空测控值班团队;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-006-深空测控站任务光;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-007-佳木斯66米深空测控站;BY-SCN-P1-008-喀什35米深空测控站,BY-VOI-P1-005-林海深空测控声音;BY-VOI-P1-006-叶河深空测控声音;BY-VOI-P1-007-天衡测轨声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-008-飞控与测控大厅底噪,,V1.2提取已终审；待阶段2B设计与确认可调用,近月正面着陆区以直达链路为主，不把鹊桥写成唯一链路。
036,5,动力下降,04:13–04:20,舱内近景,杨凛确认最终下降，陈砚切换着陆后电源与通信页面。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-LGT-P0-002-揽月下降任务光;BY-SCN-P0-003-揽月登月舱舱内,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,地面确认与器上执行分工清晰。
037,5,动力下降,04:20–04:27,低空外景,着陆器垂直缓降，尘埃沿月面贴地扩散，没有空气涡流。,BY-LGT-P0-004-月面艺术化任务日光;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱;BY-VFX-P0-001-月面下降羽流与贴地月尘,,,,V1.2提取已终审；待阶段2B设计与确认可调用,月尘运动按真空喷流表现；外景静音。
038,5,动力下降,04:27–04:35,着陆腿／舱内交叉,着陆腿接近月面，触地传感器亮起；发动机随即关机，机体一次短促回弹后稳定。,BY-LGT-P0-002-揽月下降任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱;BY-VFX-P0-002-触月关机与月尘回落,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-003-发动机舱内结构振动,,V1.2提取已终审；待阶段2B设计与确认可调用,触地—关机—结构稳定三个动作按顺序完成。
039,6,触月确认,04:35–04:42,月面外景固定,月尘缓慢落下，揽月四条着陆腿稳定承载；机体没有继续倾斜。,BY-LGT-P0-004-月面艺术化任务日光;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱;BY-VFX-P0-002-触月关机与月尘回落,,,,V1.2提取已终审；待阶段2B设计与确认可调用,月面无空气传播声。
040,6,触月确认,04:42–04:50,舱内仪表与双人近景,两人保持约束，依次核对倾角、密封和生命保障。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-LGT-P0-002-揽月下降任务光;BY-SCN-P0-003-揽月登月舱舱内,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,先核状态，后报成功。
041,6,触月确认,04:50–04:58,北京飞控广角,各席位指示依次由黄转绿，最后一个链路状态闭合。,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-SCN-P0-006-北京飞控大厅与任务主屏,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-008-飞控与测控大厅底噪,,V1.2提取已终审；待阶段2B设计与确认可调用,飞控短暂停顿后克制鼓掌，不盖过任务通信。
042,6,触月确认,04:58–05:05,月面大全景,着陆器与远处低矮地形同框，画面角落标出坐标。,BY-LGT-P0-004-月面艺术化任务日光;BY-SCN-P0-004-月面着陆与作业区;BY-VEH-P0-003-揽月登月舱,BY-VOI-P1-002-林知夏声音,,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,不使用史诗音乐；坐标锁定为11.97°N，3.21°W。
043,7,出舱准备,05:05–05:12,时间字幕／舱内延时,字幕：着陆后数小时。两人进食、检查外部光照、热控与设备状态的片段快速叠化。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-LGT-P0-002-揽月下降任务光;BY-SCN-P0-003-揽月登月舱舱内,,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,BY-SYM-P1-003-任务阶段与时间跳跃标牌,V1.2提取已终审；待阶段2B设计与确认可调用,长时间休整用字幕和延时，不假装实时。
044,7,出舱准备,05:12–05:19,登月服准备中景,陈砚协助杨凛检查头盔密封、胸前控制台与背负生命保障；随后两人互换检查。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-002-揽月下降任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-003-揽月登月舱舱内,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声,,V1.2提取已终审；待阶段2B设计与确认可调用,采用中国登月服公开外观：白银主体、红色识别带、方形背负系统。
045,7,出舱准备,05:19–05:27,工具与清单特写,采样袋、相机、照明、国旗组件和应急返回索逐项固定。,BY-LGT-P0-002-揽月下降任务光;BY-PRP-P0-003-便携式月面摄像机;BY-PRP-P0-004-工程化国旗展示装置;BY-PRP-P1-001-月面采样工具;BY-PRP-P1-002-月壤样品容器;BY-PRP-P1-004-月面工具包与载荷固定系统;BY-SCN-P0-003-揽月登月舱舱内;BY-SYM-P0-001-中华人民共和国国旗图形;BY-SYM-P1-005-样品编号与封签模板,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,国旗组件只作为任务物品，不提前科普。
046,7,出舱准备,05:27–05:35,舱压曲线／舱门,两人关闭内侧隔离、释放舱压，压力曲线稳定下降。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-002-揽月下降任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-003-揽月登月舱舱内,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-002-登月服内部呼吸与结构声,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,AI只做状态提示。
